DevOps Engineer,"Киев
Профиль компании","Ciklum is looking for DevOps Engineer to join our Business Process Automation Kyiv team on a full-time basis. It is a position for self-organized, assiduous and highly motivated talents who would like..."
JavaScript / Python Engineer,Киев,"Project Description: Our new customer is a venture production studio building decentralized applications and various developer and end-user tools for blockchain ecosystems, primarily focused on Ethereum...."
Junior Python developer,Киев,Deloitte is seeking a Junior Python developer to join the Consulting Department at the Kyiv office. Every story has a beginning. Deloitte is one of the leading international professional services firms...
System Admin/Developer for R&D Project (IRC61459),"Киев
Профиль компании",GlobalLogic Ukraine is inviting a System Admin/Developer for R&D Project to join its Kyiv office. The Team is recruiting for an Knowledge Developer Engineer to join our team. This person will work...
Generic Computer Vision Engineer,Киев,"Skelia invites Generic Computer Vision Engineers for long-term and full-time employment at its service center in Kyiv, Ukraine. This is a unique opportunity to become a part of the extension team of software..."
Middle DevOPS engineer,Киев,We are looking for an experienced DevOps Engineer to develop and maintain company's product infrastructure. This role intends to design and manage deployments of Platform-as-a-Service software in Cloud...
Trading Operations Analyst,Киев,"About Atto Trading Technologies, LLC is a dynamic, technology-driven firm supporting a quantitative trading operation across a wide range of financial markets. Founded in 2010, Atto is an emerging competitor..."
Experienced Administrator/DevOps Engineer,Киев,"We are looking for a new member of the Technology Operations Team Requirements, our DevOp has: Cloud-services: AWS, DigitalOcean,Google Cloud Strong wish to develop Kubernetes / Docker Swarm skills Strong..."
Quantitative Researcher,Киев,"Atto Trading Technologies has immediate openings for Quantitative Researcher . Quantitative Researchers at Atto Trading Technologies are responsible for building models, strategies for our automated trading..."
Chief Risk Officer,"80 000 грн
Киев","Иностранный финансовый холдинг для финансовой компании, работающей на рынке онлайн кредитования физических лиц в Украине, ищет CRO (Chief Risk Officer) Ключевые скиллы: · мониторинг и успешное построение..."
Администратор систем видеонаблюдения,"Киев
Профиль компании","Компания ""Новая Почта"" - лидер в сфере экспресс-доставок в Украине, в связи с расширение штата объявляет об открытии вакансии ""Администратор систем видеонаблюдения"" Требования: Однозначное и явно выраженное..."
DevOps Engineer,Киев,"Role: performing tasks for Company's Development team like an integration of company's products and third-party systems (CRM's, etc.), writing scripts in Python, running and configuring machine learning..."
DevOps Engineer,Киев,"Требования: Опыт работы с Continuous Integration/ Continuous Delivery на платформе Linux от 2-х лет, Jenkins/TeamCity от 2-х лет; Навыки администрирования Linux; Опыт написания скриптов на Bash/Python/Ruby;..."
